"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","","","reverseGeocodedName","state","tahsil","district","","toDate","observedInMonth","lastRevised",""
"916051","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","01/06/1992","01/06/1992","Species","Barbastella leucomelas (Cretzschmar 1826)","","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionoidea","Vespertilionidae","Barbastella","Barbastella leucomelas (Cretzschmar 1826)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-06-01T00:00:00.000Z","June","2016-03-09T10:56:00.642Z",
"1074299","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Others",,"false","27.2333","88.0333","APPROXIMATE","21/06/1958","21/06/1958","Infraspecies","Dremomys lokriah lokriah (Hodgson 1836)","Orange-bellied Himalayan Squirrel; Ground Squirrels; Chipmunks; Squirrels; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Dremomys","Dremomys lokriah (Hodgson 1836)",,,"West Bengal State, Darjeeling District","SIKKIM","Soreng","WEST",,"1958-06-21T00:00:00.000Z","June","2016-03-09T10:56:00.642Z",
"1338137","admin","SIKKIM,LINGTAM",,"1","false","09/03/2016",,"Others",,"false","27.23333","88.71667","APPROXIMATE","13/02/1931","13/02/1931","Infraspecies","Callosciurus pygerythrus lokroides (Hodgson 1836)","","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Callosciurus","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)",,,"SIKKIM,LINGTAM","SIKKIM","Pakyong","EAST",,"1931-02-13T00:00:00.000Z","February","2016-03-09T10:56:00.642Z",
"1653368","admin","",,"1","false","09/03/2016",,"Mammals",,"false","27.26581","88.67982","APPROXIMATE","02/03/2015","02/03/2015","Species","Procapra picticaudata Hodgson 1846","","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Procapra","Procapra picticaudata Hodgson 1846",,,"","SIKKIM","Pakyong","EAST",,"2015-03-02T00:00:00.000Z","March","2016-03-09T10:56:00.642Z",
"392552","Biswapriya Rahut","North Sikkim, Sikkim, India",,"1","false","08/10/2015","/2630944b-c96b-4512-8b9e-faa9f8f546dc/394.jpg","Mammals",,"false","27.82363510131836","88.55653381347656","APPROXIMATE","30/07/2014","30/07/2014","Infraspecies","Equus kiang polyodon Hodgson 1847","Tibetan Wild Ass:English","Animalia","Chordata","Mammalia","Perissodactyla",,"Equidae","Equus","Equus kiang Moorcroft 1841",,,"North Sikkim, Sikkim, India","SIKKIM","Chungthang","NORTH",,"2014-07-30T00:00:00.000Z","July","2015-10-08T14:12:04.205Z",
"392534","Biswapriya Rahut","Thangu, Thangu Valley, Sikkim 737120, India",,"1","false","07/10/2015","/3a1a79ff-898f-4cd6-93dc-e384968c7891/699.jpg","Mammals",,"true","27.89220428466797","88.53648376464844","APPROXIMATE","07/05/2009","07/05/2009","Species","Mustela altaica Pallas 1811","Pale Weasel:English","Animalia","Chordata","Mammalia","Carnivora",,"Mustelidae","Mustela","Mustela altaica Pallas 1811",,,"Thangu, Thangu Valley, Sikkim 737120, India","SIKKIM","Chungthang","NORTH",,"2009-05-07T00:00:00.000Z","May","2015-10-07T16:22:28.779Z",
"380989","Dibyendu Ash","Nimachen, Sikkim 737131, India",,"1","false","09/06/2015","/010bb4fa-b284-4b7a-be01-06838bfc9a2d/594.jpg","Mammals",,"false","27.233348846435547","88.76223754882812","APPROXIMATE","23/04/2015","23/04/2015","Species","Petaurista nobilis (Gray 1842)","Bhutan Giant Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista nobilis (Gray 1842)",,,"Nimachen, Sikkim 737131, India","SIKKIM","Rongli","EAST",,"2015-04-23T00:00:00.000Z","April","2015-06-09T09:59:31.688Z",
"380988","Dibyendu Ash","Zuluk, Sikkim 737131, India",,"1","false","09/06/2015","/b56e893f-d5f0-4ff9-8809-1fa7937ab1ab/354.jpg","Mammals",,"false","27.251848220825195","88.77750396728516","APPROXIMATE","20/04/2015","20/04/2015","Species","Mustela sibirica Pallas 1773","Siberian Weasel:English","Animalia","Chordata","Mammalia","Carnivora",,"Mustelidae","Mustela","Mustela sibirica Pallas 1773",,,"Zuluk, Sikkim 737131, India","SIKKIM","Rongli","EAST",,"2015-04-20T00:00:00.000Z","April","2015-06-09T09:48:22.782Z",
"380987","Dibyendu Ash","Zuluk, Sikkim 737131, India",,"1","false","09/06/2015","/176b5277-14e5-48f6-bdef-90ec00a971ae/751","Mammals",,"false","27.251848220825195","88.77750396728516","APPROXIMATE","23/04/2015","23/04/2015","Species","Martes flavigula (Boddaert 1785)","Yellow-throated Marten:English","Animalia","Chordata","Mammalia","Carnivora",,"Mustelidae","Martes","Martes flavigula (Boddaert 1785)",,,"Zuluk, Sikkim 737131, India","SIKKIM","Rongli","EAST",,"2015-04-23T00:00:00.000Z","April","2015-06-09T09:44:43.397Z",
"380976","Dibyendu Ash","Zuluk, Sikkim 737131, India",,"1","true","09/06/2015","/05778e69-66ac-455d-9668-6708ec929197/561.jpg","Mammals",,"false","27.251848","88.77750170000002","APPROXIMATE","21/05/2015","21/05/2015","Species","Moschus chrysogaster (Hodgson 1839)","Alpine Musk Deer:English","Animalia","Chordata","Mammalia","Artiodactyla",,"Moschidae","Moschus","Moschus chrysogaster (Hodgson 1839)",,,"Zuluk, Sikkim 737131, India","SIKKIM","Rongli","EAST",,"2015-05-21T00:00:00.000Z","May","2015-06-09T08:38:33.445Z",
"345890","Dibyendu Ash","East Sikkim, Sikkim, India",,"1","false","03/06/2014","/8decec22-285f-45f4-8339-6f77cdb3f3d9/388.jpg","Mammals",,"true","27.30836296081543","88.67235565185547","APPROXIMATE","11/05/2014","11/05/2014","Species","Ochotona curzoniae (Hodgson 1858)","Plateau Pika:English","Animalia","Chordata","Mammalia","Lagomorpha",,"Ochotonidae","Ochotona","Ochotona curzoniae (Hodgson 1858)",,,"East Sikkim, Sikkim, India","SIKKIM","Gangtok","EAST",,"2014-05-11T00:00:00.000Z","May","2015-11-23T07:47:05.216Z",
"344915","Anubhav Agarwal","Yumthang, Sikkim 737120, India",,"1","false","01/05/2014","/6ead33a0-3515-49e0-9075-2b022e010a39/310.JPG","Mammals",,"false","27.82679557800293","88.69580841064453","APPROXIMATE","28/04/2010","28/04/2010","Species","Bos grunniens Linnaeus 1766","Yak:English","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Bos","Bos grunniens Linnaeus 1766",,,"Yumthang, Sikkim 737120, India","SIKKIM","Chungthang","NORTH",,"2010-04-28T00:00:00.000Z","April","2014-05-01T15:31:45.240Z",
"344883","Anubhav Agarwal","Gurudongmar Lake, Sikkim 737120",,"1","false","01/05/2014","/fd376d5e-e963-49dd-bc26-c9f742319c91/767.JPG","Mammals",,"true","28.025754928588867","88.7096939086914","APPROXIMATE","27/04/2010","27/04/2010","Species","Bos grunniens Linnaeus 1766","Yak:English","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Bos","Bos grunniens Linnaeus 1766",,,"Gurudongmar Lake, Sikkim 737120","SIKKIM","Chungthang","NORTH",,"2010-04-27T00:00:00.000Z","April","2019-12-09T08:18:12.317Z",
"314598","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Canis aureus Linnaeus 1758","Jackal:English","Animalia","Chordata","Mammalia","Carnivora",,"Canidae","Canis","Canis aureus Linnaeus 1758",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.060Z",
